"article_id","full_name","sex","birth_year","city","state","country","continent","latitude","longitude","occupation","industry","domain","article_languages","page_views","average_views","historical_popularity_index"
2402,"Albrecht Dürer","Male","1471","Nuremberg","","Germany","Europe",49.45,11.08333,"Painter","Fine Arts","Arts",112,10212700,91185,28.8184
36812,"Pericles","Male","-495","Athens","","Greece","Europe",37.96667,23.71667,"Politician","Government","Institutions",63,7934375,125942,28.8129
51825,"Sun Tzu","Male","-544","Qi","","China","Asia",NA,NA,"Philosopher","Philosophy","Humanities",81,6622800,81763,28.7957
13621,"Hadrian","Male","76","Italica","","Spain","Europe",37.44389,-6.04667,"Politician","Government","Institutions",64,6885963,107593,28.7796
59172,"Judas Iscariot","Male","-1","Other","","Unknown","",NA,NA,"Religious Figure","Religion","Institutions",63,11142102,176859,28.7693
19960,"Mark Antony","Male","-83","Rome","","Italy","Europe",41.9,12.5,"Politician","Government","Institutions",61,9040703,148208,28.7531
14358,"Hammurabi","Male","-1796","Babylon","","Iraq","Asia",32.53639,44.42083,"Politician","Government","Institutions",82,5376002,65561,28.7455
16143,"John Locke","Male","1632","Wrington","","United Kingdom","Europe",51.3617,-2.7606,"Philosopher","Philosophy","Humanities",99,23061256,232942,28.7425
8211,"Democritus","Male","-460","Abdera","","Greece","Europe",40.95,24.98333,"Philosopher","Philosophy","Humanities",72,9288258,129004,28.7332
1028,"Aristophanes","Male","-446","Athens","","Greece","Europe",37.96667,23.71667,"Writer","Language","Humanities",68,4704294,69181,28.7213
20076,"Martin Luther King, Jr.","Male","1929","Atlanta","GA","United States","North America",33.755,-84.39,"Social Activist","Activism","Public Figure",116,28854653,248747,28.6877
24517,"Plutarch","Male","45","Chaeronea","","Greece","Europe",38.51667,22.85,"Philosopher","Philosophy","Humanities",72,5399390,74992,28.6819
10671,"Friedrich Nietzsche","Male","1844","Röcken","","Germany","Europe",51.24083,12.11611,"Philosopher","Philosophy","Humanities",117,39344570,336278,28.6677
42146,"Victor Hugo","Male","1802","Besançon","","France","Europe",47.2431,6.0219,"Writer","Language","Humanities",123,25659755,208616,28.6599
14980,"Imhotep","Male","-2650","Memphis","","Egypt","Africa",29.84472,31.25083,"Architect","Design","Arts",56,4231465,75562,28.6228
9288,"Elvis Presley","Male","1935","Tupelo","MS","United States","North America",34.25972,-88.72583,"Singer","Music","Arts",118,55896331,473698,28.6172
40112,"Salvador Dalí","Male","1904","Figueres","","Spain","Europe",42.26667,2.965,"Painter","Fine Arts","Arts",122,37482606,307234,28.593
